..............1.23.45.6.7..........4...2.3....6....8......4.6....1....8.2....6... (10.3/1.2/1.2)
..............1..2..3.4..5.......5....6.3..7..8.1.9......67....2........91......8 (9.7/1.2/1.2)
........1.....2.3...4.5...........2...64......2...3.1.......5.6.3.......7..86...4 (9.7/1.2/1.2)
........1.....2.3...4.5..........5.6.3.......7..8....4....1..2...64......2...3.1. (9.7/1.2/1.2)
..............1..2..3.4..5............6.3..4..7...2..8..4.6..3..2......1.8...7... (9.6/1.5/1.5)
..............1..2.34....5............5...4....6.37..8....4.6...2.......1..5...23 (9.6/1.5/1.5)
..............1..2.34....5.........1..645..7.2....8..9.....9.....53...4.8........ (9.6/1.5/1.5)
..............1.23..1.45...............23..6...5..64.....78.....3.......26....5.. (9.6/1.5/1.5)
..............1..2..3....4......5.....6.4..7.25...81......3......4.7..9.8.......5 (9.6/1.2/1.2)
..............1..2..3.4..5.......67..1.......82...9......3...6...457.....9......8 (9.6/1.2/1.2)
..............1.23..4.5.6................7.38..569................46.9..12...3... (9.6/1.2/1.2)
..............1.23..4.5.6................7.38..596................64.9..12...3... (9.6/1.2/1.2)
..............1.23..4.5.6.....47......56......2......8...5..7..1........83...2... (9.6/1.2/1.2)
........1......234....56........1.5...2.......3.4..7.......58.....2..4..16....... (9.6/1.2/1.2)
..............1..2..3.4..5.......4...1...2...6......3...7.3...1.2......64.85..... (9.5/1.5/1.5)
..............1..2..3.4.56............756..3..1...2.....5.3..4..8........9......1 (9.5/1.5/1.5)
..............1..2..3.4.56............756.3...1...2.....5.3.4...8........9......1 (9.5/1.5/1.5)
........1......23...4..5........4.5..1..2...6.3...........1...7.2.8.....8.5....4. (9.5/1.5/1.5)
.................1..2..3........4.3...4..5.2..6..7...8..5....4..7..8...6.8..9.... (9.5/1.2/1.2)
................12..3.45........46...7..3.....8.1....9...72....5.4...3..6........ (9.5/1.2/1.2)
................12..3.45........46...7.8....9.92.........2...7...4...3..5.6...... (9.5/1.2/1.2)
...............123..4..5...........6.1..3...78..5..........845..2..1.....3.....8. (9.5/1.2/1.2)
..............1..2..3.4..5............435.....6......1...78.6...1...6.4.2.....3.. (9.5/1.2/1.2)
..............1..2..3.4..5.........3.2......54..6..........74...16..8....5..3.6.. (9.5/1.2/1.2)
..............1..2..3.4..5.......46..1.......72...8......3...4...695.....8......7 (9.5/1.2/1.2)
..............1..2..3.4..5.......67..1.......82...9......3...6...475.....9......8 (9.5/1.2/1.2)
..............1..2..3.4.56......2.....576..4..1..........45..3..8........9......1 (9.5/1.2/1.2)
..............1..2.34....5........3.1...2....6.7.8.......3...48...5.....25....1.. (9.5/1.2/1.2)
..............1..2.34....5........3.1...6....7.8.2.......3...46...5.....25....1.. (9.5/1.2/1.2)
..............1..2.34....5.....3..46....5....2.....1....5....3.1..2.....7.86..... (9.5/1.2/1.2)
..............1..2.34....5.....3..46....5....2.....1....5....3.1..6.....7.82..... (9.5/1.2/1.2)
..............1.23..4.5.6..........7....4.5..23.........5...48..8.......1..3.2... (9.5/1.2/1.2)
..............1.23..4.5.6.........12....4......567.......8.......6...74.28....... (9.5/1.2/1.2)
..............1.23..4.5.6......4.....1..62....3.....71....8...7.2.......6..3..... (9.5/1.2/1.2)
..............1.23..425............6.1......2.3.64........7..4...8...5..6....3... (9.5/1.2/1.2)
..............1.23..456................45.7..18...2.......7......5...6..21...3... (9.5/1.2/1.2)
..............1.23..456........4......7...5...1...2.8.....5........7.6..3....9.1. (9.5/1.2/1.2)
...........1..2..3.4..5..6.......1......3...7.5.46.......5...4...3..8...7....1... (9.5/1.2/1.2)
........1.......23..4..5........67...3.28.....9..........1....9..6..84..5.7...... (9.5/1.2/1.2)
........1.....2....13....4.....2..5...4...67...81..3.....3.4....2...9...8........ (9.5/1.2/1.2)
........1.....2....34....5.......3......2..4.2.1..6......5......1.43.78.6........ (9.5/1.2/1.2)
........1.....2....34....5.......67.1...3....8...6.......9....8.65.7.....7..4.... (9.5/1.2/1.2)
........1.....2....34....5.......67.8...3....9...6.......1....9.65.7.....7..4.... (9.5/1.2/1.2)
........1.....2....34....5.....1...3.5.....4.2....6......3.....1.....2..7.84....6 (9.5/1.2/1.2)
........1.....2.3...4.15.......5.....3.....2..6....78....6.3.....1...4.52........ (9.5/1.2/1.2)
........1.....2.3..45...6........7.6.....8...2...39.........89...14......7.6..... (9.5/1.2/1.2)
........1.....2.3..45...6........7.6.....8...2...39.........89...15......7.6..... (9.5/1.2/1.2)
........1....23....45.....6.......7.2...3..8.8..4.........97....1........6....5.4 (9.4/2.6/2.6)
..............1..2.34....51....3..46....5....2.....1...5.....3.7..2.....8..6..... (9.4/1.5/1.5)
...........1..2..3.4..5..6.........1......2..65..4........21.4....3.....789...... (9.4/1.5/1.5)
........1.....2.....3.4.56........4...2...3...1.6.........732..4........6..8....5 (9.4/1.5/1.5)
........1.....2.3...4.5.........1......3...2..5....4...67.4.5..1..8.....3...7.... (9.4/1.5/1.5)
................12..3.45........46...1.7...8..9..3.......12....5.4...3..6........ (9.4/1.2/1.2)
................12..3.456.......7.......364..15..........4.......6...7..8..9...2. (9.4/1.2/1.2)
...............123..4..5...........4....1.3...567....8.....7.5..1....2..3...4.... (9.4/1.2/1.2)
..............1..2..3.2..4.........5.6.7....1.8453........4.....1...2...5......3. (9.4/1.2/1.2)
..............1..2..3.4..5........35....6.....7...21......3..8..8....7.12...5.... (9.4/1.2/1.2)
..............1..2.34....5.........6..5...34.7...62.......5....2.......181.3..... (9.4/1.2/1.2)
..............1..2.34....5........6.....3..4.7....2..8....6......6.4..9.8..7....1 (9.4/1.2/1.2)
..............1..2.34....5.......1....3.6..7.8.......9...4...3..5.....6.2..7.9... (9.4/1.2/1.2)
..............1.23..4.5...1...3.......5...64..6........3..6...71...4.8..2........ (9.4/1.2/1.2)
..............1.23..4.5.6................2.37..586................64.8..12...9... (9.4/1.2/1.2)
..............1.23..4.5.6................7.38..569................46.9..27...3... (9.4/1.2/1.2)
..............1.23..4.5.6................7.38..596................64.9..27...3... (9.4/1.2/1.2)
..............1.23..4.5.6.......7.38...8......69.........46.......9..5..3.......2 (9.4/1.2/1.2)
........1.......23..4..5........6.......785...3.1....9...2.....5.8...6..6.7...... (9.4/1.2/1.2)
........1.......23..4..5........6....3..7...2.7..84......1...7.5.8......6.....4.. (9.4/1.2/1.2)
........1.......23..4..5........6....32.......7...84......1...75...9....8..4..6.. (9.4/1.2/1.2)
........1.......23..4..5.......2..6..57.......8....4.....6.87..1...3....6....4... (9.4/1.2/1.2)
........1.....1.2...3...4.......5.....4...6...7..16..2...8......2.......6..43.5.. (9.4/1.2/1.2)
........1.....1.2...3...4.......5.....4..36...7..16..2...8......2.......6..4..5.. (9.4/1.2/1.2)
........1.....1.23..4.5.........6....7....5..28...3.....6.......5.4.....1......36 (9.4/1.2/1.2)
........1.....2.....3....45....672....8..9....4......3..135....7.....6..9........ (9.4/1.2/1.2)
........1.....2....34....5.....1.6....35...4...5.........4......6.3.7...21....8.. (9.4/1.2/1.2)
........1.....2....34....5.....3...2..64....78...5.......7.....5.....4..72...1... (9.4/1.2/1.2)
........1.....2....34....5.....3..4.....6....21....3....54.....6........78...1..2 (9.4/1.2/1.2)
........1.....2..3..4.5........6..7..2........3...18.....4.9..2..7....4.5.6...... (9.4/1.2/1.2)
........1.....2..3.45.6..7.......8....6....5.1....3.......5..6...2......3..8....2 (9.4/1.2/1.2)
........1.....2.3...4...5.......61....5.1...4.2..........5...2..3.....6.7.8.4.... (9.4/1.2/1.2)
........1.....2.3...4...5.6....1...7.2...5...83..........74......1.6.....5.....8. (9.4/1.2/1.2)
........1.....2..3.45....6......32......1...7.68.........5...4.6..8...9.7........ (9.3/9.3/2.6)
........1......23...4..5........4.5..1........3..2........1.6...2.7..8..7.5....4. (9.3/1.5/1.5)
................12..3..4..5....1...3..6.7.4...78.2.......5......1.....2.4....3... (9.3/1.2/1.2)
..............1..2..3...45.....4..6..2.......71...8......9.......456.3...8......7 (9.3/1.2/1.2)
..............1..2..3...45.....4.6...2.......71...8......9.......456..3..8......7 (9.3/1.2/1.2)
..............1..2..3.4..5............4.5..3..1...6..7..8.3..4..6...7....7......1 (9.3/1.2/1.2)
..............1..2.34.....5........3..5....4.1....6.......5...76...3.1..8..4..6.. (9.3/1.2/1.2)
..............1.23..4.56...........1.3...2...5.....4......475.....8......21....3. (9.3/1.2/1.2)
..............1.23..456..........4.1.2...3...5............4.5....1...78..3...6... (9.3/1.2/1.2)
........1........2..3..4........5.46.1..3....724...8.....1......6.2.....8......5. (9.3/1.2/1.2)
........1........2..3..4........5.46.1.34....72....8......1.....6..2....8......5. (9.3/1.2/1.2)
........1.......2...3..45......1.......2...5..4....3...6...34..1........2.57.8... (9.3/1.2/1.2)
........1.....2..3456.............4.....13...7..5..8.....4..5....3.5.....12...... (9.3/1.2/1.2)
........1.....2.3...4.5..........5.....61.4..78.............6.5...2.7...23...8... (9.3/1.2/1.2)
........1.....2.3...4.5..........6...2.7.8...5.....49....2.......6.4.5...3.....2. (9.3/1.2/1.2)
........1.....2.3..45..........2.4....6...5....7..1.2....65....1......8.2..4..... (9.3/1.2/1.2)
..............1.23.45.6...7.....8.....9.3.4..2.......1...4...8...7......3....2... (9.2/1.5/1.5)
.................1..2..3.4.......5....4.61....78.5.9.....7...8.1........6..59.... (9.2/1.2/1.2)
.................1..2.34..............3.2..4..5.1....6...5.....7..6...3.814...2.. (9.2/1.2/1.2)
.................1..2.34......5....6..3........4.1..2..1.6.7....5...8.3..6....4.. (9.2/1.2/1.2)
................12....345.....1...6...32......54.........7.849...1...3..2........ (9.2/1.2/1.2)
................12..3..4.......1..5...4..6....2......6....7.3...1.68....5....2..4 (9.2/1.2/1.2)
..............1..2..3....45.......54.16..7....8.....6........9....34.....2...81.. (9.2/1.2/1.2)
..............1..2..3....45.......54.16..7....8.....6........9....35.....2...81.. (9.2/1.2/1.2)
..............1..2..3.4..5............1...3...6.2.5.......1.4..7...36...82.....7. (9.2/1.2/1.2)
..............1..2..3.4..5........61...7......753.......45...3..1......86....7... (9.2/1.2/1.2)
..............1..2.13.4..5.........6..7....3..4...6.......5.......73.4..18......9 (9.2/1.2/1.2)
..............1..2.34....5........3.1....2...6.7.4........3.84....5.....25......1 (9.2/1.2/1.2)
..............1..2.34....5........3.1...52...6.7..........3.8...5.4.....24......1 (9.2/1.2/1.2)
..............1..2.34....5........3.1...52...6.7..........3.84..5.4.....2.......1 (9.2/1.2/1.2)
..............1..2.34....5.......3.1....6......65........2....4.5....6..3..7.81.. (9.2/1.2/1.2)
..............1..2.34....5.....3.64....5.....2.......1..5....3.1....2...7.8.4.... (9.2/1.2/1.2)
..............1.23..4.5...6......4.5.1...2....7.6..........8.1...2......5.6.4.... (9.2/1.2/1.2)
..............1.23..456..........7.8....4.....32.....1....2.64..1...3...6........ (9.2/1.2/1.2)
..............1.23.24.5...........143..6.....78....5......2.4.....3.....1.5...... (9.2/1.2/1.2)
..............1.23.45.6............7..6...4..2....3..8....3...9...45....1.......2 (9.2/1.2/1.2)
..............1.23.4567...............2..3..6.6..8.4......4.6....3......2.......1 (9.2/1.2/1.2)
........1.......2...1.34...........5.3..4....5..2...6......74.32........68.5..... (9.2/1.2/1.2)
........1.......2...1.34...........5.3..4....5..2...6.....7.4.32........68.5..... (9.2/1.2/1.2)
........1.......2...3..4.........5.......3...12......6..4.6.3...7..1.....8.2..4.9 (9.2/1.2/1.2)
........1.......23..2..4.......1.5....6.7...8.9......2...9.....1..2.....5.....49. (9.2/1.2/1.2)
........1.......23..4..5........6....32.......7...84......1..7.6..4..8..8...9.... (9.2/1.2/1.2)
........1......23...4..5........4.5..1..2...6.3...........1.7...2.8.....3.5....4. (9.2/1.2/1.2)
........1......234.....5.......2......6.1.....78....9...79..58.1...4....3........ (9.2/1.2/1.2)
........1.....1.2...3.4.......5.6.7..3.8.....64..........72.....7....3..1.......4 (9.2/1.2/1.2)
........1.....1.2...3.4.5.........6...7...3...4...6.......5.......73...418.....9. (9.2/1.2/1.2)
........1.....2.....3....4.......3.....15..6..1..7....2....38.75........7..4..9.. (9.2/1.2/1.2)
........1.....2.....3....4.....5.63..7.......8....9......64..5..2......898..3.... (9.2/1.2/1.2)
........1.....2.....3....45.....12....4.......5..4.6.....1...3.1..5.78..2........ (9.2/1.2/1.2)
........1.....2.....3.4..5.....2.4....15....6.6..........3.1.7.2..6.....4......8. (9.2/1.2/1.2)
........1.....2..3..4.5..6.....7..5..1.......7..64......7...4...3...1....5...8... (9.2/1.2/1.2)
........1.....2.3...4..5.6.....6.7...3.......28....5.....7..4....1.3.....9.....5. (9.2/1.2/1.2)
........1.....2.3...4.1............5..6.7.8.479...3......5......3.....2.1...4.... (9.2/1.2/1.2)
........1.....2.3...4.5........6.5...1....4..2...73.....54..1....8......3......2. (9.2/1.2/1.2)
........1.....2.3..45.............2.....31.....6...5.....4..6..2.7....8.3..65.... (9.2/1.2/1.2)
........1.....2.3..45...........1.26....3.....784........7.85.....9..7..6........ (9.2/1.2/1.2)
........1.....2.3..45...........3..64.....7..7...5........2.......47.5...83.....9 (9.2/1.2/1.2)
..............1..2.34....5.....5..6.....7....2.8...9.....6.2..1..3.4....57....... (9.1/1.5/1.5)
..............1.23..4.5.6........5....7......28...3.......6......5.7.4..31...8... (9.1/1.5/1.5)
..............1.23..456.................23..1.25...4......4.5...3.......1.78..... (9.1/1.5/1.5)
................12..1.345.......1....6.7....524.8.........5.......2....6..3....4. (9.1/1.2/1.2)
................12..3..4..............4.1.3...5..2...1...6.3.....1.4.7...7.....89 (9.1/1.2/1.2)
................12..3..4........34...1........2..5........2..564..7.....6.8..93.. (9.1/1.2/1.2)
...............123..4..5................1.23..65..4........6..4.1.5.....2.....78. (9.1/1.2/1.2)
..............1..2....3.45............2..6..738.....4....54..8...1...2.6..7...... (9.1/1.2/1.2)
..............1..2..3..4.5............5.6..3..7....2.....68..9..1..7.....8..2.7.. (9.1/1.2/1.2)
..............1..2..3..4.5.....2...1.36......4.5....3..2.3..5...7........8.....4. (9.1/1.2/1.2)
..............1..2..3..4.5.....2...1.36......4.5....6..2.6..5...7........8.....4. (9.1/1.2/1.2)
..............1..2..3..4.5.....23..1..6.......45....3.2..3..5..7........8......4. (9.1/1.2/1.2)
..............1..2..3..4.5...6.......45....3.7...2...12..3..5..8........9......4. (9.1/1.2/1.2)
..............1..2..3.4..5........6...5...43..7.2.8......6......5.....4.29..3.... (9.1/1.2/1.2)
..............1..2.34.....5....3..1.2........6..5...7...54....3.2.......1....87.. (9.1/1.2/1.2)
..............1..2.34....5........3.....4.56.27...8......5.......5.3..4..9...2... (9.1/1.2/1.2)
..............1..2.34....5........6...5.6.34.7...........3....7..6.47...8.......9 (9.1/1.2/1.2)
..............1..2.34....5.......3....1..5....6.....4.....3..7...2.4...1.8.26.... (9.1/1.2/1.2)
..............1..2.34....5......2..1..3.16....75...8......5.3...2.......6..4..... (9.1/1.2/1.2)
..............1..2.34....5......5.....6....3...7.162.....34.......8...457........ (9.1/1.2/1.2)
..............1..2.34....5.....3......2.....16..5.7......4......5....43.1.8..2... (9.1/1.2/1.2)
..............1..2.34.5..6.........1..5.4.....46..........6....1.....5..2..7.83.. (9.1/1.2/1.2)
..............1.23.14.5........6.5....2......3......6....2...17.5.4......6......8 (9.1/1.2/1.2)
..............1.23.14.5........6.5....2......3.5.........2...17.5.4......6......8 (9.1/1.2/1.2)
..............1.23.14.5........6.5....25.....3...........2...17.5.4......6......8 (9.1/1.2/1.2)
..............1.23.14.5........6.5..2........6.3.........3...71.5.4......6.....8. (9.1/1.2/1.2)
..............1.23.45..6...........4..2.7....3....85.........7....2......7..5.4.8 (9.1/1.2/1.2)
..............1.23.45.2...6........4......5..1....6......3...1...7....6..284..... (9.1/1.2/1.2)
..............1.23.45.2.1..........4......5..1....6......3...1...7....6..284..... (9.1/1.2/1.2)
..............1.23.45.6.........2.....75..8..2......1.....8.......7....531......7 (9.1/1.2/1.2)
........1.......23..4..5.........4.6.3.......72..1.......6.8.....54..9...1.....7. (9.1/1.2/1.2)
........1.......23..4..5........6.....6.47....2......8....6.7...1.3.....3..9..5.. (9.1/1.2/1.2)
........1......23...2..4......35.6...1.......74......8..3.9.....8.......1....8..4 (9.1/1.2/1.2)
........1......23...4.56..........78.....1..436..........3..65...1..4...2........ (9.1/1.2/1.2)
........1.....1.23..4.5.........6....2...3...7.....58...6.......1.....365..4..... (9.1/1.2/1.2)
........1.....2.....1.3.456.......2...46......7....8.....1......2...8.7.84....... (9.1/1.2/1.2)
........1.....2....13.4..56......2....7....8..5.6........1.......2..87..8.5...... (9.1/1.2/1.2)
........1.....2....34..............5..2..4....5..1..3.....3.......6..78.26.15.... (9.1/1.2/1.2)
........1.....2..3.45.6.........3.....4....5..78.9.6.....5..4...2...1...3........ (9.1/1.2/1.2)
........1.....2..3.45.6........4..5.3.21.....7...........3..4....1....6.8.......2 (9.1/1.2/1.2)
........1.....2.3...4..5...........2....4.5..36.1.......5...4..1........2..3..78. (9.1/1.2/1.2)
........1.....2.3...4..5........1....2..5....3.......6....3......74...28.5.6..1.. (9.1/1.2/1.2)
........1.....2.3...4..5........1....2..5....3.......6....3......74..5.8.5.6..1.. (9.1/1.2/1.2)
........1.....2.3...4..5........1....2..5....3......56....3......74....8.5.6..1.. (9.1/1.2/1.2)
........1.....2.3...4.5...........2.....6.5..17.84......5.....42..3.1...3........ (9.1/1.2/1.2)
........1.....2.3...4.5...........2.....6.51..7.84......5.....42..3.1...3........ (9.1/1.2/1.2)
........1.....2.3...4.5...........5...67..8...1...34.....8....3.21......5.......2 (9.1/1.2/1.2)
........1.....2.3...4.5..........42.....6.5..17.8.......5.....42..3.1...3........ (9.1/1.2/1.2)
........1.....2.3...4.5.........3.....1...6.4.7.8..5.....46....1........63.....2. (9.1/1.2/1.2)
........1.....2.3..14.5..........6.4.....3....7.8..5.....46....1........63.....2. (9.1/1.2/1.2)
........1.....2.34..5..6.......517......8....13.........7....8..4.3.....8.....5.. (9.1/1.2/1.2)
........1.....2.34.45..........1.....6....5..2.1..3......45......76...8.3........ (9.1/1.2/1.2)
..............1..2..3.4..5.........6...35..2..2..7...1...6......1...8...5...9..3. (9.0/1.5/1.5)
..............1..2.34....5.....2.......3...6..78...4.....4.....2..5....99..6..1.. (9.0/1.5/1.5)
........1........2..3..4........5.6..7...84..16....3......1...7...2.....2.6.7.... (9.0/1.5/1.5)
........1.......23..4.56..........78...3......95.4.......2.......6...9..3.8..1... (9.0/1.5/1.5)
........1.....2..3..4.5..6.......2...5.7.....13.6..........85....8..4....6......7 (9.0/1.5/1.5)
........1.....2..3..4.5..6.......2...5.7.....31.6..........85....8..4....6......7 (9.0/1.5/1.5)
.................1..2.34..........3..5....6...6.7.8..5...6.....3.....42.4..1.5... (9.0/1.2/1.2)
................12..3.45........1.......5..6...4.....5.1.....7.62...3...8...2.4.. (9.0/1.2/1.2)
...............123..4..5................1.2...15..36...7......51.....8..26..4.... (9.0/1.2/1.2)
...............123..4..5...........1....1.2....5..36...1....7..62..4....8.......5 (9.0/1.2/1.2)
...............123..4..5...........4....1.6...3.2.......5..47...1..2....8...3.9.. (9.0/1.2/1.2)
...............123..4..5........1..6....3......5.2.....3......762..4....8....25.. (9.0/1.2/1.2)
...............123..4.15........1..6....3......5.......3......762..4....8....25.. (9.0/1.2/1.2)
...............123..4.15........2..6...3.......5.......3......761.4.....8....1.5. (9.0/1.2/1.2)
..............1..2..3....4...........1..56....6.4...3...7.....1..83..5..2.9...6.. (9.0/1.2/1.2)
..............1..2..3....4.......5.6....37.8..2......1..7.4..3...82......1....7.. (9.0/1.2/1.2)
..............1..2..3...14.......3.5.2....6..74...8.......3.....1.4.....2...6.5.. (9.0/1.2/1.2)
..............1..2..3..4.5........4.......3.6.2.78........7.2....1.2...74.....8.. (9.0/1.2/1.2)
..............1..2..3..4.5........4.......326.2.78........7......1.2...74.....8.. (9.0/1.2/1.2)
..............1..2..3..4.5........4...6...3.7.2.68........6......1.2...64.....8.. (9.0/1.2/1.2)
..............1..2..3..4.5.......3.6......74..2.78........7......1.2...74.....8.. (9.0/1.2/1.2)
..............1..2..3..4.5.......3.6.....2.4..2.78........7......1.2...74.....8.. (9.0/1.2/1.2)
..............1..2..3.4..5..............5.43..1.2.......4..3..6.7.......28.7....1 (9.0/1.2/1.2)
..............1..2.34.....5.......2.....3.1...46.5.........2..61..3..5..7.8...... (9.0/1.2/1.2)
..............1..2.34....5......2..1..5.....6.7389........5.3...2.....4.6........ (9.0/1.2/1.2)
..............1..2.34....5.....12.....6..7....58...6......3...7...5..34.2........ (9.0/1.2/1.2)
..............1..2.34....5.....12.....6..7....58...6......3...7...5..43.2........ (9.0/1.2/1.2)
..............1..2.34....5.....12.....6..7....58...9......3...7...5..34.2........ (9.0/1.2/1.2)
..............1..2.34....5.....12.....6..7....58...9......3...7...5..43.2........ (9.0/1.2/1.2)
..............1.23..4..5..6........5......47..2.38........3......1.2..3.5.....8.. (9.0/1.2/1.2)
..............1.23..4.2.5.......3.1...56......4...........476......5....13......8 (9.0/1.2/1.2)
..............1.23..4.5.6......6.5...2........7...8.....6.......9...2.3.5.8.4.... (9.0/1.2/1.2)
..............1.23..4.56.......4.7...1..2....3.......8...3.8..1..7....8..4....... (9.0/1.2/1.2)
...........1..2..3..2.4..5.........1.3........4...67........43...51.....2......68 (9.0/1.2/1.2)
...........1..2..3.4..5.16.......45......7.....82.3.......6......2..8...8.3...... (9.0/1.2/1.2)
........1........2..3..4........5.6..1....3..7...684......1...7...2......26.7.... (9.0/1.2/1.2)
........1........2..3..4........5.6..1....3..73...84......1...7...2......26.7.... (9.0/1.2/1.2)
........1........2..3..4.......1.......2....5.165........3.7.6..2....3..5....84.. (9.0/1.2/1.2)
........1.......2.....34.....1..2..5.3.......4.........6..1.3...7.5.....28...74.. (9.0/1.2/1.2)
........1.......2...3..4.......1........5...6..4.2.3...2...3.7.5..6.....61.....8. (9.0/1.2/1.2)
........1.......2...3..4.......15......6..34..7..8.6....2..34..1....2...8........ (9.0/1.2/1.2)
........1.......23....45......2....6..1........4.7.....6...85..32....7..7..3..... (9.0/1.2/1.2)
........1.......23..4..5.........4.6.3.......72..1.......8.6.....54..9...1.....7. (9.0/1.2/1.2)
........1......23...4.56..........4..1.2......5....6.....3.4.78..6.....25........ (9.0/1.2/1.2)
........1......234..5..6...........5.2..3....6...4.7.......1.6..3.5......4....8.. (9.0/1.2/1.2)
........1.....1.23..4...5......2.....1...3...5.....4.....6......2.......7.654..8. (9.0/1.2/1.2)
........1.....2.......3..45....4.......5....6..2...1...3...12..4....7...57......8 (9.0/1.2/1.2)
........1.....2.....3....4......5.......613...74...8......8...42.......55.83..... (9.0/1.2/1.2)
........1.....2.....3....4......5.......613...74...8......8...42......855..3..... (9.0/1.2/1.2)
........1.....2.....3....4.....256....4.7...3.1...6.....14.....5.....2..6....8... (9.0/1.2/1.2)
........1.....2.....3....4.....256....4.7...3.1...6.....14.....5....8...6.....2.. (9.0/1.2/1.2)
........1.....2.....3....45......67...8..1....3..5.2.....3....4.2.5.8...1........ (9.0/1.2/1.2)
........1.....2.....3....45......67...8..1....3..5.2.....3...84.2.5.....1........ (9.0/1.2/1.2)
........1.....2.....3....45.....6.......713...84..........5...42......566..3..... (9.0/1.2/1.2)
........1.....2.....3.4..5........3...6..7....2.8.1.....2.3...6.1....2..8...5.... (9.0/1.2/1.2)
........1.....2....13....4......56.......78.35...4........1......43....22......7. (9.0/1.2/1.2)
........1.....2....13....4......56...4..1....5......3....6..5....7.....2.843..... (9.0/1.2/1.2)
........1.....2....34..5.6......35......7....1.8....3.....1.....5....2..3..8....7 (9.0/1.2/1.2)
........1.....2....34..5.6......35....3.7....1.8....3.....1.......8....7.5....2.. (9.0/1.2/1.2)
........1.....2....34..5.6......35..1.7....3.5...8........1.......7....8.5....2.. (9.0/1.2/1.2)
........1.....2..3..4.5...........2.....6.4..13.........6..45...7...1...2..8..6.. (9.0/1.2/1.2)
........1.....2..3..4.5...........2.....6.4..13..4......6...5...7...1...2..8..6.. (9.0/1.2/1.2)
........1.....2..3..4.5...........4...6.7.....3...1....2.3.....31.....5.8...4.7.. (9.0/1.2/1.2)
........1.....2..3..4.5...........4...6.7.....3.1......2.......31.....5.8...457.. (9.0/1.2/1.2)
........1.....2..3..4.5...........6..1...3...78....4......4.5..12.......3..6...1. (9.0/1.2/1.2)
........1.....2..3..4.5...........6..1...3...78....4......4.5..12....3..3..6..... (9.0/1.2/1.2)
........1.....2..3..4.5...........6..1...3...78....43.....4.5..12.......3..6..... (9.0/1.2/1.2)
........1.....2..3..4.5...........6..1...3...78..1.4......4.5..12.......3..6..... (9.0/1.2/1.2)
........1.....2..3..4.5...........6..3...1...78....4......4.5..1..6.....32....1.. (9.0/1.2/1.2)
........1.....2..3..4.5...........6..3...1...78....4......4.5..1..6...3.32....... (9.0/1.2/1.2)
........1.....2..3..4.5...........6..3...1...78....41.....4.5..1..6.....32....... (9.0/1.2/1.2)
........1.....2..3..4.5...........6..3...1...78..3.4......4.5..1..6.....32....... (9.0/1.2/1.2)
........1.....2..3..4.5..........16..1...3...78....4......4.5..12.......3..6..... (9.0/1.2/1.2)
........1.....2..3..4.5..........36..3...1...78....4......4.5..1..6.....32....... (9.0/1.2/1.2)
........1.....2..3..4.5........4..5..1.6.....23.........1...6..3....1...78.....4. (9.0/1.2/1.2)
........1.....2..3..4.5........4..5..3.6.....21.........3...6..1....3...78.....4. (9.0/1.2/1.2)
........1.....2..3..4.5..6........37..6.......584.........6.8..1....3...2....7... (9.0/1.2/1.2)
